control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_juliana,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_martha,1972,14716,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1972,0,Uvas Americanas e Híbridas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_niagara,1972,253262,Uvas Americanas e Híbridas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1972,0,Uvas Americanas e Híbridas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1972,0,Uvas Americanas e Híbridas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_selecoes,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard,1972,145444,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_outras,1972,0,Uvas Americanas e Híbridas,rosadas,,,,0
tintas,1973,161593877,Uvas Americanas e Híbridas,,,,,1
tintas_bacarina,1973,58690,Uvas Americanas e Híbridas,bacarina,,,,0
tintas_bailey,1973,0,Uvas Americanas e Híbridas,bailey,,,,0
tintas_bordo,1973,5584243,Uvas Americanas e Híbridas,bordo,,,,0
tintas_bourdin_s,1973,0,Uvas Americanas e Híbridas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1973,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1973,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brs_magna,1973,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_margot,1973,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsmorena,1973,0,Uvas Americanas e Híbridas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1973,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_rubea,1973,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsvioleta,1973,0,Uvas Americanas e Híbridas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1973,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_champagnon_champanheta,1973,0,Uvas Americanas e Híbridas,champagnon,,champagnon,,0
tintas_colecoes,1973,0,Uvas Americanas e Híbridas,colecoes,,,,0
tintas_concord,1973,1850704,Uvas Americanas e Híbridas,concord,,concord,,0
tintas_concordclone30,1973,0,Uvas Americanas e Híbridas,concordclone30,,concordclone30,,0
tintas_couderc,1973,2602220,Uvas Americanas e Híbridas,couderc,,,,0
tintas_cynthiana_1,1973,360571,Uvas Americanas e Híbridas,cynthiana,,,,0
tintas_herbemont,1973,33214347,Uvas Americanas e Híbridas,herbemont,,herbemont,,0
tintas_iac138022,1973,0,Uvas Americanas e Híbridas,iac138022,,iac138022,,0
tintas_isabel,1973,109787700,Uvas Americanas e Híbridas,isabel,,isabel,,0
tintas_isabelprecoce,1973,0,Uvas Americanas e Híbridas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1973,302686,Uvas Americanas e Híbridas,jacquez,,,,0
tintas_kyoko,1973,0,Uvas Americanas e Híbridas,kyoko,,,,0
tintas_laot,1973,80995,Uvas Americanas e Híbridas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1973,0,Uvas Americanas e Híbridas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1973,9483,Uvas Americanas e Híbridas,oberlin,,,,0
tintas_othello,1973,17358,Uvas Americanas e Híbridas,othello,,,,0
tintas_paco,1973,0,Uvas Americanas e Híbridas,paco,,,,0
tintas_patricia,1973,0,Uvas Americanas e Híbridas,patricia,,,,0
tintas_seibel,1973,7724880,Uvas Americanas e Híbridas,seibel,,,,0
tintas_seibel2_seibeleto,1973,0,Uvas Americanas e Híbridas,seibel2,,,,0
tintas_seyvewillard_tinta,1973,0,Uvas Americanas e Híbridas,seyvewillard,,,,0
tintas_vênus,1973,0,Uvas Americanas e Híbridas,vênus,,,,0
brancas_rosadas,1973,231984,Uvas Americanas e Híbridas,rosadas,,,,1
brancas_rosadas_baco,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_bokay,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1973,0,Uvas Americanas e Híbridas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1973,0,Uvas Americanas e Híbridas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1973,0,Uvas Americanas e Híbridas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_delaware,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_donazilla,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_dutchess,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_goethe,1973,113941,Uvas Americanas e Híbridas,rosadas,,goethe,,0
brancas_rosadas_iac,1973,0,Uvas Americanas e Híbridas,rosadas,,iac,,0
brancas_rosadas_juliana,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_martha,1973,5126,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1973,0,Uvas Americanas e Híbridas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_niagara,1973,112917,Uvas Americanas e Híbridas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1973,0,Uvas Americanas e Híbridas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1973,0,Uvas Americanas e Híbridas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_selecoes,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
