control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas,1981,51316.0,brancas,,,,,1
brancas_rosadas_cardinal,1981,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1981,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1981,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1981,14467.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1981,36849.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1981,0.0,brancas_rosadas,rosadas,,,,0
tintas,1982,27910.0,tintas,,,,,1
tintas_alphonse_lavallee,1982,7662.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1982,20248.0,tintas,mosem,,,,0
brancas,1982,53160.0,brancas,,,,,1
brancas_rosadas_cardinal,1982,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1982,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1982,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1982,13971.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1982,39189.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1982,0.0,brancas_rosadas,rosadas,,,,0
tintas,1983,8154.0,tintas,,,,,1
tintas_alphonse_lavallee,1983,2989.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1983,5165.0,tintas,mosem,,,,0
brancas,1983,19074.0,brancas,,,,,1
brancas_rosadas_cardinal,1983,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1983,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1983,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1983,4948.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1983,14126.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1983,0.0,brancas_rosadas,rosadas,,,,0
tintas,1984,5970.0,tintas,,,,,1
tintas_alphonse_lavallee,1984,4380.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1984,1590.0,tintas,mosem,,,,0
brancas,1984,14225.0,brancas,,,,,1
brancas_rosadas_cardinal,1984,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1984,1545.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1984,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1984,10735.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1984,1945.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1984,0.0,brancas_rosadas,rosadas,,,,0
tintas,1985,17553.0,tintas,,,,,1
tintas_alphonse_lavallee,1985,17553.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1985,0.0,tintas,mosem,,,,0
brancas,1985,21346.0,brancas,,,,,1
brancas_rosadas_cardinal,1985,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1985,4921.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1985,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1985,10548.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1985,5877.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1985,0.0,brancas_rosadas,rosadas,,,,0
