control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_trebbiano,1970,7277270,brancas_rosadas,rosadas,,,,0
brancas_rosadas_trebbiano_tosem_classificacaoano,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_verdea,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_verdelho,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_verdiso,1970,7950,brancas_rosadas,rosadas,,,,0
brancas_rosadas_vermentino,1970,20461,brancas_rosadas,rosadas,,,,0
brancas_rosadas_vernaccia,1970,122467,brancas_rosadas,rosadas,,,,0
brancas_rosadas_viogner,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_viognier,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_outras_3,1970,2126291,brancas_rosadas,rosadas,,,,0
tintas,1971,11012833,tintas,,,,,1
tintas_alicante_bousem_classificacaohet,1971,0,tintas,alicante,,,,0
tintas_ancelota,1971,0,tintas,ancelota,,,,0
tintas_aramon,1971,0,tintas,aramon,,,,0
tintas_alfrocheiro,1971,0,tintas,alfrocheiro,,,,0
tintas_arinarnoa,1971,0,tintas,arinarnoa,,,,0
tintas_aspirant_bousem_classificacaohet,1971,0,tintas,aspirant,,,,0
tintas_barbera,1971,3971627,tintas,barbera,,,,0
tintas_bonarda,1971,1868929,tintas,bonarda,,,,0
tintas_cabernet_franc,1971,324924,tintas,cabernet,,,,0
tintas_cabernet_sauvignon,1971,0,tintas,cabernet,,,,0
tintas_caladoc,1971,0,tintas,caladoc,,,,0
tintas_campanario,1971,0,tintas,campanario,,,,0
tintas_canaiolo,1971,607921,tintas,canaiolo,,,,0
tintas_carignan,1971,11796,tintas,carignan,,,,0
tintas_carmenere,1971,18288,tintas,carmenere,,,,0
tintas_castelao,1971,0,tintas,castelao,,,,0
tintas_corvina,1971,0,tintas,corvina,,,,0
tintas_croatina,1971,0,tintas,croatina,,,,0
tintas_cinsaut,1971,0,tintas,cinsaut,,,,0
tintas_dom_felder,1971,0,tintas,dom,,,,0
tintas_dolcetto,1971,0,tintas,dolcetto,,,,0
tintas_durif,1971,0,tintas,durif,,,,0
tintas_egiodola,1971,0,tintas,egiodola,,,,0
tintas_ekigaina,1971,0,tintas,ekigaina,,,,0
tintas_festival_sugraone,1971,0,tintas,festival,,,,0
tintas_franconia,1971,0,tintas,franconia,,,,0
tintas_freisa,1971,1519,tintas,freisa,,,,0
tintas_gamay_st_romain,1971,0,tintas,gamay,,,,0
tintas_gamay_beaujolais,1971,0,tintas,gamay,,,,0
tintas_gra_noir,1971,930,tintas,gra,,,,0
tintas_grenache,1971,22418,tintas,grenache,,,,0
tintas_jaen,1971,0,tintas,jaen,,,,0
tintas_lagrein,1971,0,tintas,lagrein,,,,0
tintas_lambrusem_classificacaoo,1971,2670,tintas,lambrusem,,,,0
tintas_malbec,1971,4884,tintas,malbec,,,,0
tintas_marzemina,1971,66569,tintas,marzemina,,,,0
tintas_merlot,1971,164533,tintas,merlot,,,,0
tintas_marselan,1971,0,tintas,marselan,,,,0
tintas_mistura_de_uvas_viniferas_tinto,1971,0,tintas,mistura,mistura_viniferas_tinto,,,0
tintas_molinera,1971,0,tintas,molinera,,,,0
tintas_montepulciano,1971,0,tintas,montepulciano,,,,0
tintas_mosem_classificacaoato_bailey,1971,0,tintas,mosem,,,,0
