control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_brs_bibiana,1973,0,brancas_rosadas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1973,0,brancas_rosadas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1973,0,brancas_rosadas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_delaware,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_donazilla,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_dutchess,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_goethe,1973,113941,brancas_rosadas,rosadas,,goethe,,0
brancas_rosadas_iac,1973,0,brancas_rosadas,rosadas,,iac,,0
brancas_rosadas_juliana,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_martha,1973,5126,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1973,0,brancas_rosadas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_niagara,1973,112917,brancas_rosadas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1973,0,brancas_rosadas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1973,0,brancas_rosadas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_selecoes,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1973,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_outras,1973,0,brancas_rosadas,rosadas,,,,0
tintas,1974,295404693,tintas,,,,,1
tintas_bacarina,1974,138158,tintas,bacarina,,,,0
tintas_bailey,1974,0,tintas,bailey,,,,0
tintas_bordo,1974,13341412,tintas,bordo,,,,0
tintas_bourdin_s,1974,0,tintas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1974,0,tintas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1974,0,tintas,brsem,,brsem,,0
tintas_brs_magna,1974,0,tintas,brs,,brs,,0
tintas_brs_margot,1974,0,tintas,brs,,brs,,0
tintas_brsmorena,1974,0,tintas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1974,0,tintas,brs,,brs,,0
tintas_brs_rubea,1974,0,tintas,brs,,brs,,0
tintas_brsvioleta,1974,0,tintas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1974,0,tintas,brs,,brs,,0
tintas_champagnon_champanheta,1974,0,tintas,champagnon,,champagnon,,0
tintas_colecoes,1974,0,tintas,colecoes,,,,0
tintas_concord,1974,5218933,tintas,concord,,concord,,0
tintas_concordclone30,1974,0,tintas,concordclone30,,concordclone30,,0
tintas_couderc,1974,5057735,tintas,couderc,,,,0
tintas_cynthiana_1,1974,605039,tintas,cynthiana,,,,0
tintas_herbemont,1974,65865189,tintas,herbemont,,herbemont,,0
tintas_iac138022,1974,0,tintas,iac138022,,iac138022,,0
tintas_isabel,1974,191946376,tintas,isabel,,isabel,,0
tintas_isabelprecoce,1974,0,tintas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1974,847092,tintas,jacquez,,,,0
tintas_kyoko,1974,0,tintas,kyoko,,,,0
tintas_laot,1974,103456,tintas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1974,0,tintas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1974,47350,tintas,oberlin,,,,0
tintas_othello,1974,54730,tintas,othello,,,,0
tintas_paco,1974,0,tintas,paco,,,,0
tintas_patricia,1974,0,tintas,patricia,,,,0
tintas_seibel,1974,12179223,tintas,seibel,,,,0
tintas_seibel2_seibeleto,1974,0,tintas,seibel2,,,,0
tintas_seyvewillard_tinta,1974,0,tintas,seyvewillard,,,,0
tintas_vênus,1974,0,tintas,vênus,,,,0
brancas_rosadas,1974,2865338,brancas_rosadas,rosadas,,,,1
brancas_rosadas_baco,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_bokay,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1974,0,brancas_rosadas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1974,0,brancas_rosadas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1974,0,brancas_rosadas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_delaware,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_donazilla,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_dutchess,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_goethe,1974,371399,brancas_rosadas,rosadas,,goethe,,0
brancas_rosadas_iac,1974,0,brancas_rosadas,rosadas,,iac,,0
brancas_rosadas_juliana,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_martha,1974,17486,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1974,0,brancas_rosadas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_niagara,1974,2476453,brancas_rosadas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1974,0,brancas_rosadas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1974,0,brancas_rosadas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_selecoes,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1974,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_outras,1974,0,brancas_rosadas,rosadas,,,,0
tintas,1975,282003228,tintas,,,,,1
tintas_bacarina,1975,101454,tintas,bacarina,,,,0
tintas_bailey,1975,0,tintas,bailey,,,,0
tintas_bordo,1975,16023998,tintas,bordo,,,,0
tintas_bourdin_s,1975,0,tintas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1975,0,tintas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1975,0,tintas,brsem,,brsem,,0
tintas_brs_magna,1975,0,tintas,brs,,brs,,0
tintas_brs_margot,1975,0,tintas,brs,,brs,,0
